MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
33.48,93.23,73.88,34,85,66,0,84,60,17.65,34.6,31.06,79.05,25.86,73,67,159.05,62.45,36.66,18.41,18.59,13.59,162.58,60.41,33.33,137.84,100,32.94,6.58,5.99,6.79,6.79,N
63.51,63.87,82.68,64,62,82,66,60,81,6.79,16.48,10.77,68.74,3.09,69,69,245.88,26.01,33.3,17.4,11.49,6.27,246.86,23.26,32.16,260,20,31.76,3.67,4.19,4.01,5,H
26.39,30.87,23.39,26,27,23,26,39,31,9.27,29.59,12.45,25.61,11.9,25,16,81.96,29.83,13.24,72.37,20.35,11.17,60,23.81,11.37,18,50,9.8,5.54,5.21,5.77,5.59,N
18.45,74.53,43.4,13,72,41,0,85,0,18.39,41.13,29.78,56.97,32.01,55,58,142.4,77.05,29.23,17.21,17.92,16.12,145.38,77.78,28.24,120,100,33.33,6.95,5.53,7.23,6.68,N
127.29,129.06,164.28,130,129,168,132,139,163,25.31,22.95,24.84,139.28,15.43,140,143,241.65,26.87,66.28,22.58,11.23,6.46,245.85,24.54,66.27,240,19.02,63.92,5.95,6.33,6.11,5.81,H
94.98,103.8,134.93,95,101,138,83,83,163,22.47,26.03,29.03,111.1,15.87,112,121,234.88,31.62,55.22,25.64,15.59,10.26,236.36,29.19,54.9,240,20,63.92,6,6.28,6.09,6.51,H
26.86,74.23,58.63,18,61,47,0,10,8,26.21,51.22,43.08,63.75,44.6,52,9,159.58,67.29,29.11,10.55,18.96,20.09,162,64.89,23.92,160,100,3.92,7.23,6.1,7.43,7.16,N
31.89,43.1,26.33,27,34,20,21,28,14,20.31,32.3,22.28,34.82,21.95,29,22,92.6,41.91,17,29.68,17.02,12.7,92.31,40,13.33,80,50,10.98,6.01,5.98,6.22,5.9,N
50.67,61.47,42.13,38,47,30,33,36,22,43.22,48.23,41.6,52.07,41.58,41,34,87.85,34.76,24.5,35.38,18.36,19.39,81.82,32.14,18.43,80,33.33,14.12,6.48,6.45,6.63,6.46,N
26.8,42.83,101.37,26,33,81,19,23,56,11.19,33.07,53.36,56.76,25.46,47,35,231.15,68.69,41.61,19.58,17.63,21.43,233.9,71.43,33.73,240,66.67,21.96,6.08,5.44,5.75,7.06,I
20.04,47.24,74.87,20,43,79,20,44,82,8.44,29.36,18.89,49.98,9.33,51,54,213.98,73.02,31.6,24.21,14.11,10.68,216.84,75,31.37,218.18,75,32.16,5.23,5.01,5.26,6.04,N
120.56,144.44,172.27,123,17,47,124,151,182,25.44,26.33,26.24,149.8,20.45,23,160,214.41,31.48,69.17,15.42,11.45,7.68,216.52,29.44,69.02,210,25,71.37,6.3,6.48,6.53,6.21,H
46.11,66.12,119.98,46,64,122,46,64,127,5.89,15.65,17.42,79.33,6.99,79,79,224.35,61.3,47.76,10.81,7.14,6.79,225.75,61.98,47.84,225,66.67,49.8,4.83,4.33,4.48,5.92,H
34.35,39.01,31.35,34,33,29,35,38,28,12.38,34,19.55,33.59,16.9,32,35,86.28,29.96,17.11,84.51,21.77,12.89,48,23.33,14.51,0,50,11.76,6.01,5.62,6.23,6.09,N
61.18,105.32,211.08,61,102,119,51,67,255,12.51,38.33,58.87,133.8,38.72,11,86,222.8,69.77,84.1,15.78,8.75,21.02,226.72,72.16,96.86,228,73.73,100,7.16,5.42,6.97,5.15,I
5.79,66.53,167.62,3,67,46,0,72,174,8.49,32.06,42.07,87.67,26.48,90,102,218.09,96.73,67.03,13.3,4.67,15.05,218.735,98.44,68.24,216.21,100,68.24,6.74,3.69,6.6,7.2,I
27.25,48.86,34.67,25,44,31,27,44,31,17.88,30.87,22.8,40.68,20.89,38,41,144.53,44.6,19.38,19.98,15.73,12.52,141.18,42.42,17.25,141.18,50,17.25,5.94,5.77,6.06,6.07,N
35.25,65.64,65.79,29,59,62,0,123,114,31.79,42.6,36.52,59.16,34.82,56,0,188.49,58.12,27.79,16.21,25.74,16.64,189.16,53.19,25.49,188.57,100,48.24,7.02,6.24,7.11,7.07,N
155.07,167.15,149.48,32,43,27,174,183,189,28.34,28.58,39.78,160.27,27.78,35,159,108.78,18.53,67.25,57.91,15.37,9.6,101.54,15.54,68.63,108,5.46,71.76,6.7,6.46,6.68,7.02,H
16.63,87.02,209.01,10,76,83,0,66,255,17.98,31.05,39.06,114.76,24.33,109,85,217.48,92.92,83.37,12.61,6.96,11.98,219.88,95.41,83.53,220,100,100,6.35,5.46,6.2,6.53,I
