MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
2.75,85.42,219.86,1,82,228,0,79,255,4.04,26.8,37.34,115.63,18.84,116,114,216.84,98.8,87.53,11.94,1.75,11.01,218.91,99.59,89.8,220,100,100,6.23,2.92,6.31,6.36,I
51.28,93.78,85.57,48,94,86,0,94,104,31.33,42.2,39.61,85.51,38.05,86,87,172.26,49.09,37.14,18.7,18.22,16.52,170.59,45.68,37.25,170,100,37.25,7.26,6.85,7.36,7.31,N
14.99,115.55,205.42,11,120,90,0,92,255,15.67,52.9,41.94,130.72,40.94,9,163,209.78,93.11,81.72,15.55,7.1,14.19,209.55,94.86,85.88,215.43,100,100,7.31,5.16,7.68,6.92,I
44.19,100.28,173.77,41,92,178,37,65,255,22.88,47.46,64.12,115.65,45.31,111,92,215.72,73.08,69.51,14.13,13.69,24.14,218.65,74.62,71.37,220,100,100,7.45,6.47,7.44,7.36,I
144.68,156.18,157.53,160,168,163,191,183,177,44.11,33.08,28.53,155.66,26.9,166,178,143.63,17.42,66.23,86.74,18.26,9.82,180,10.49,68.24,180,0,74.9,6.33,6.81,6.49,6.25,H
4.98,92.5,221.76,3,93,114,0,49,255,5.58,34.7,42.15,120.73,26.53,0,139,215.76,97.86,88.34,12.94,2.36,13.11,218.11,98.41,94.9,222.19,100,100,6.57,3.78,6.87,6.07,I
104.63,94.83,64.52,105,90,65,105,78,72,19.51,25.23,32.89,86.04,21.11,84,73,56.73,41.86,42.99,51,26.3,8.53,39.64,37.39,41.96,40,50,41.18,6.38,6.1,6.27,7.02,N
56.13,55.26,57.91,58,51,57,61,48,51,16.11,29.52,19.76,53.59,13.24,52,51,293.59,20.24,26.06,59.73,16.65,12.08,307.5,14.93,23.92,288,12.5,23.92,5.62,5.82,5.68,5.93,H
205.25,176.77,159.99,213,184,164,237,187,175,34.66,38.46,38.05,174.99,37.7,182,185,23.7,22.9,80.49,23.81,7.62,13.59,22.76,22.49,83.53,20,25,92.94,7.12,6.84,7.13,7.18,H
87.64,98.22,95.44,92,98,99,100,102,103,26.8,29.93,20.28,95.31,20.52,98,102,165.02,14.11,40.09,63.27,16.52,10.61,180,7.61,39.61,180,0,40.39,6.32,6.63,6.49,6.09,H
25.99,49.88,23.02,22,42,18,5,20,0,19.32,37.21,20.66,37.15,24.74,32,14,108.38,61.02,19.56,13.73,21.78,14.59,108,57.14,16.47,120,100,7.84,6.47,6.07,6.77,5.9,N
71.62,110.95,90.46,69,107,88,61,74,43,27.24,44.18,41.76,98.44,37.79,95,56,135.29,35.88,43.67,38.15,16.15,17.27,154.55,34,41.96,60,33.33,29.02,7.15,6.63,7.32,7.3,N
41.34,181.92,250.78,42,56,126,41,196,255,7.56,19.94,20.5,187.18,12,60,194,199.52,83.64,99.01,8.3,2.9,2.36,199.81,83.4,99.61,207.37,83.53,100,5.56,4.81,6.23,2.77,I
46.03,62.88,77.79,41,53,73,32,42,49,21.1,33.53,32.09,64.57,28.29,56,42,206.97,39.76,31.39,27.15,17.07,13.52,207.69,37.04,29.41,210,33.33,19.22,6.51,6.12,6.63,6.83,H
15.59,98.75,189.49,12,97,77,0,116,255,15.45,44.46,55.58,115.77,36.61,119.5,130,212.92,90.25,76.34,16.99,12.69,19.47,214.63,94.035,81.57,209.44,100,100,7.19,5.33,7.32,7.28,I
