MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
3.7,55.48,174.8,2,43,29,0,31,255,4.94,34.5,52.29,83.8,28.32,73,57,221.98,98.12,70.08,14.1,2.23,18.97,224.89,98.71,63.92,224.78,100,100,6.44,3.43,6.26,6.99,I
182.94,169.06,147.56,180,167,146,180,163,144,11.59,11.02,10.54,164.26,10.83,162,157,36.63,19.36,71.74,3.59,1.99,4.55,36.67,19.76,70.59,34.55,20,70.59,5.26,5.28,5.28,5.21,H
201.49,217.33,213.86,84,97,95,223,229,226,33.26,18.66,29.61,216.11,16.49,96,227,171.51,8.76,86.58,28.96,12.9,5.39,175.71,5.075,88.63,154.29,3.04,89.8,5.54,6.1,5.71,5.25,H
17.31,81.9,166,11,89,90,0,12,255,20,54.27,94.74,98.79,58.23,118,15,214.15,87.11,66.56,14.68,12.71,36.44,215.29,91.18,87.06,212.31,100,100,7.19,5.47,7.28,6.82,I
47.6,89.66,150.82,48,87,150,48,82,146,6.48,16.52,18.51,102.82,10.4,102,96,215.91,68.58,59.8,8.94,3.87,6.33,216.88,68.18,58.82,216.83,66.67,57.25,5.4,4.51,5.41,5.88,H
50.36,63.45,56.38,52,61,58,54,69,71,13.1,28.4,15.25,57.81,14.08,59,61,157.53,15.58,24.93,35.25,14.36,11.13,165.88,12.31,23.92,156,23.94,27.84,5.83,5.61,6.01,5.83,N
34.09,78.12,132.39,35,80,5,37,86,131,6.92,20.39,15.04,88.96,11.38,91,94,213.12,74.48,52.57,10.5,4.6,5.53,211.22,73.57,52.16,209.05,71.97,51.37,5.53,4.74,5.87,5.52,H
50.84,88.18,88.7,46,82,84,42,81,79,25.25,36.08,34.79,83.09,31.27,78,70,183.82,45.01,36.32,12.82,14.04,14.53,186.67,44,34.12,186.67,50,30.98,6.86,6.54,6.94,7.04,N
111.26,116.95,125.63,113,116,127,120,123,127,12.64,13.87,11.29,118.56,5.51,119,124,220.62,12.45,50.21,23.88,10.16,4.34,225.6,10,49.8,214.29,5.51,49.8,4.27,4.83,4.73,3.75,H
14.6,67.09,35.66,4,51,22,0,31,0,28.97,50.22,38.61,50.68,41.62,37,12,137.02,84.64,26.32,17.63,19.21,19.7,140,92.19,20,120,100,12.16,7.01,4.73,7.31,6.49,N
19.57,92.72,82.36,17,82,71,0,38,37,16.91,52.59,49.24,80.14,43.79,72,40,171.98,71.87,36.81,25.33,23.55,20.77,172.22,76.92,32.55,180,100,14.9,7.32,5.59,7.57,7.46,N
55.35,40.74,38.83,56,42,40,57,42,41,6.65,6.58,6.78,41.86,6.59,43,43,50.67,30.55,21.71,113.72,5.45,2.61,8,29.51,21.96,7.06,29.31,22.35,4.6,4.63,4.6,4.65,H
169.05,171.65,160.01,41,44,33,182,181,166,11.63,12.15,12.98,167.87,11.98,40,177,83.28,7.86,67.69,36.82,3.06,4.51,72.63,7.34,67.84,56,8.24,71.37,5.62,5.53,5.6,5.7,H
45.5,75.23,135.77,46,72,137,47,64,138,7.09,18.76,28.42,89.6,14.8,89,87,221.63,65.17,53.87,9.91,9.83,10.94,222.09,67.5,53.73,225,66.67,54.12,5.81,4.71,5.59,6.64,H
6.37,95,201.92,4,91,80,0,69,255,7.9,36.85,45.22,115.77,31.37,116,128,213.09,96.99,80.57,12.83,3.64,15.23,215.38,98.305,82.35,216.44,100,100,6.97,3.87,7.05,6.85,I
4.02,75.29,182.71,1,71,67,0,51,218,5.65,44.99,47.28,97.96,36.12,99,98,217.27,97.94,73,14.99,2.82,16.82,219.28,99.17,76.86,240,100,85.49,7.18,3.3,7.33,7.32,I
206.68,212,200.3,215,216,207,224,223,211,28.84,13.17,25.28,209.25,11.01,214,219,100.5,8.17,84.52,72.34,11.19,4.94,75,5.56,86.27,60,4.95,87.45,4.79,5.75,5.14,5.39,H
6.71,145.69,227.19,3,147,250,0,115,255,10.56,55.19,44.69,154.22,42.08,161,161,203.13,96.82,90.32,14.41,4.96,14.67,205.19,98.82,98.04,209.59,100,100,7.19,3.92,7.6,5.16,I
31.32,58.64,92.37,30,56,87,27,51,76,7.57,14.39,19.8,65.63,15.14,62,54,213.42,66.24,36.22,2.29,2.16,7.76,213.33,66.06,34.12,213.6,66.67,29.8,5.61,4.76,5.57,5.96,H
25.04,48.49,32.56,23,45,31,18,40,25,13.66,26.7,14.53,39.2,13.76,38,30,141.41,48.16,19.03,13.67,16.64,10.48,143.08,47.06,17.65,144,50,15.69,5.77,5.68,5.98,5.82,N
19.67,94.66,209.15,19,93,86,19,101,255,11.43,25.8,34.18,119.89,20.79,120,130,216.4,90.58,82.89,10.09,5.76,11.16,217.25,91.25,84.31,216.9,100,100,6.4,5.43,6.48,6.74,I
103,109.55,106.98,104,107,108,97,97,97,30.85,31.72,25.74,106.96,23.53,107,98,174.63,11.83,45.41,110.2,15.77,11.68,217.5,7.41,44.31,0,0,49.02,6.54,6.87,6.7,6.47,H
6.58,134.18,221,2,133,249,0,140,255,11.2,63.3,54.41,146.61,49.87,154,149,205.88,97.05,88.04,16.3,5.15,19.12,209.28,99.21,97.65,205.75,100,100,7.5,3.75,7.87,5.52,I
11.94,50.74,42.68,10,45,40,0,56,46,10.88,33.34,22.67,41.79,21.4,39,33,171.96,75.39,19.99,20.62,21.19,13.04,172.68,77.27,17.65,180,100,21.96,6.38,4.82,6.6,6.46,N
50.32,62.72,74.17,51,58,74,52,56,75,8.5,26.65,12.56,62.66,4.96,62,61,220.12,33.64,31.29,19.06,12.69,9.63,224,32.89,29.41,222.5,33.33,29.41,4.25,4.5,4.38,4.6,H
115.65,112.87,111.17,125,122,120,127,129,126,22.61,24.61,26.37,112.5,21.33,123,129,115.16,10.08,47.55,132.86,10.58,10.31,28,8.79,50.2,0,7.41,51.37,5.65,5.83,5.71,6.06,H
151.24,155.3,162.39,153,154,166,156,157,167,16.15,11.62,17.35,157.25,5.28,157,162,233.77,8.34,64.99,17.96,9.83,4.13,234.55,6.71,65.1,234.55,6.59,65.49,3.69,3.76,3.95,4.06,H
2.34,158.43,243.95,1,160,253,0,154,255,3.81,35.91,33.07,166.29,24.74,169,167,201.12,99.05,96.98,11.99,1.59,7.17,201.95,99.61,99.22,208.22,100,100,6.52,2.78,7.16,3.74,I
11.96,48.56,45.31,8,40,37,0,53,49,14,37.62,34.26,42.13,31.86,34,0,176.95,76.78,19.44,23.47,21.99,14.78,175.71,79.46,16.08,180,100,20.78,6.74,4.75,6.92,6.84,N
25.92,25.82,34.43,26,22,27,27,22,23,4.96,22.64,20.46,26.84,8.01,24,23,278.03,32.38,15.4,76.25,20.25,11.04,280,22.22,11.76,348,18.52,10.59,4.08,4.14,3.99,5.17,H
19.52,44.8,33.48,18,39,32,17,34,26,11.15,32.66,15.89,35.91,15.78,34,26,160.97,54.25,17.57,8.63,16.13,12.81,162.86,51.39,15.29,162.86,50,13.33,5.96,5.43,6.24,5.96,N
43.53,82.21,64.68,39,77,61,45,77,61,28.86,45.2,40.07,70.58,38.73,66,39,148.44,47.36,32.34,29.56,19.79,17.79,156,47.14,30.2,150,50,30.2,7.18,6.67,7.33,7.2,N
57.34,77.9,40.56,55,71,38,50,63,34,14.81,29.03,14.55,62.73,15.6,60,50,88.39,46.81,30.56,11.62,10.13,11.38,88.12,45.33,27.84,80,50,24.71,5.89,5.63,6.19,5.79,N
