MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
158.65,181.69,194.29,34,56,70,170,194,204,20.4,16.56,19.53,182.54,15.34,57,202,203.08,19.1,76.83,8.65,6.89,5.57,204,18,77.65,200,16.67,80,5.79,5.99,5.87,5.67,H
113.07,88.39,68.47,104,73,57,94,53,41,29.73,39.99,38.33,82.92,34.35,69,52,30.28,44.17,46.04,48.42,20.92,11.97,19.57,45.26,41.18,18.46,20.99,36.86,6.78,6.45,6.79,7.06,H
105.55,115.69,136.75,106,115,8,107,113,133,6.45,5.39,5.41,120.84,5.14,120,118,220.89,22.77,53.63,3.64,4.3,2.12,220,21.83,53.33,218.71,23.31,52.16,4.37,4.63,4.44,4.44,H
20.59,36.81,31.52,16,25,24,12,17,16,15.4,35.19,21.36,30.74,19.73,24,16,174.32,38.65,14.79,19.87,19.41,13.97,174.55,35.29,10.2,180,33.33,6.67,5.9,5.55,6.08,6.01,N
43.13,71.33,131.11,44,69,127,54,66,118,21.68,28.63,33.72,84.89,19.24,84,83,222.46,66.13,52.96,15.42,19.33,12.75,224.82,69.43,50.2,225,100,46.27,6.26,6.37,6.32,6.87,H
15.24,26.86,24.79,14,21,20,14,21,16,8.61,30.66,21.02,22.26,12.75,20,16,174.57,36.24,11.84,38.62,20.74,13.65,172.5,33.33,8.24,180,33.33,7.45,5.23,4.91,5.39,5.33,N
87.21,107.63,82.67,98,111,86,112,119,90,35.35,27,21.27,97.37,23.09,103,110,105.06,33.48,42.74,44.33,13.75,10.75,103.85,29.03,44.71,51.72,25,47.84,6.44,6.88,6.54,6.33,N
147.55,121.49,85.9,149,116,81,152,117,82,27.33,25.61,25.22,113.04,21.84,108,110,32.93,43.19,59.26,12.16,10.48,9.61,31.07,43.17,58.43,30,45.7,59.61,6.13,6.46,6.21,6.14,H
194.01,200.01,211.06,201,200,218,201,203,219,29.35,10.31,31.99,204.94,5.04,206,208,238.72,11.36,85.42,27.28,13.22,3.58,245.45,8.8,85.49,251.25,11.79,85.88,4.21,4.58,4.39,4.83,H
27.03,28.69,27.73,27,24,26,24,19,20,5.26,30.79,12.32,25.23,5.7,26,28,290.59,25.05,14.09,83.17,17.04,12.18,320,20.83,11.76,348,24,9.8,4.19,3.98,4.27,4.84,H
136.02,153.52,161.32,13,25,43,152,187,190,27.24,29.37,35.88,153.68,24.78,27,183,178.42,20.93,66.46,75.27,16.35,10.33,193.68,17.68,67.45,180,0,74.51,6.55,6.48,6.69,6.79,H
143.89,163.09,166.01,17,33,43,144,159,172,23.97,16.53,23.81,161.98,10.81,34,162,198.94,15.68,67.38,17.45,12.76,5.35,202.86,14.37,67.45,202.86,12,67.45,5.47,5.98,5.63,5.21,H
41.63,59.54,159.94,45,54,157,50,48,255,11.47,25.35,56.54,86.46,21.85,83,61,233.3,70.39,64.02,16.4,14.73,21.26,235.22,72.51,63.14,240,50,100,6.25,5.26,5.55,7.42,I
22.6,50.51,37.57,21,45,35,15,26,22,14.45,36.34,20.47,40.98,20.9,39,23,159.37,53.4,19.81,9.04,17.23,14.25,161.38,50,17.65,160,50,10.2,6.31,5.75,6.57,6.29,N
55.15,51.12,52.6,56,50,53,58,51,52,7.02,17.86,5.83,51.12,4.45,51,53,305.36,14.31,22.9,81.6,10.07,6.58,334.29,12.24,22.35,350,12.5,22.75,4.18,4.44,4.51,4.06,H
6.27,57.83,139.5,2,46,13,0,0,169,9.24,48.04,63.25,73.95,44.21,67,31,220.07,96.07,56.02,16.27,5.38,24.35,221.755,98.82,56.47,240,100,66.27,7.32,3.66,7.16,7.84,I
55.68,89.57,55.32,57,83,53,75,75,53,30.41,37.98,26.4,73.34,25.93,71,69,107.03,50.94,35.73,40.78,20.15,14.69,115.14,48.12,33.33,80,100,32.55,6.62,6.76,6.88,6.65,N
31.81,72.87,123.36,31,54,107,29,51,91,7.09,40.63,47.84,82.45,33.02,67,62,217.09,72.46,50.34,16.56,8.9,18.84,221.48,72.48,42.35,223.33,70.97,35.69,6.51,4.56,6.42,7.09,H
119.79,92.5,67.15,117,83,67,101,77,67,31.74,37.33,34.98,86.59,31.1,82,75,62.55,48.57,48.91,99.08,20.44,12.44,27.07,45.23,46.27,30,50,39.61,6.87,6.77,6.91,7.07,H
9.67,24.4,17.02,8,18,15,0,14,11,8.24,30.07,10.5,17.76,10.68,16,11,163.98,58.7,9.58,13.42,21.9,11.79,165.88,55,7.06,170,100,5.49,5.29,4.72,5.58,5.26,N
30.58,88.32,74.14,29,79,66,0,63,47,18.53,39.4,34.94,75.62,30.32,69,58,165.89,63.49,34.91,18.62,19.32,15.51,168.86,61.73,30.98,180,100,24.71,6.8,6.06,7.02,6.99,N
13.58,53.2,173.73,13,51,51,10,68,191,7.7,25.67,33.9,84.34,22.59,85,87,225.78,92.46,68.56,8.82,3.88,12.71,226.1,92.42,70.59,227.92,100,74.9,6.48,4.89,6.48,6.84,I
3.26,160.69,246.36,1,159,253,0,153,255,6.35,40.37,31.7,168.66,24.73,167,158,200.74,98.71,98.15,13.64,2.5,4.06,202.09,99.61,99.22,209.88,100,100,6.64,3.03,7.33,3.41,I
26.26,135.48,246.2,26,9,125,22,110,255,6.32,24.66,31.4,156.77,12.96,31,162,209.73,89.52,98.08,12.55,2.45,3.78,210.93,89.41,99.22,215.56,88.63,100,5.67,4.54,6.32,3.52,I
92.54,116.36,148.46,92,122,22,42,149,147,47.67,42.31,27.58,122.67,33.15,126,152,208.36,40.76,59.83,41.32,25.57,9.67,215.29,39.04,59.22,210,0,57.65,6.93,7.34,7.2,6.52,H
8.25,106.39,230.14,7,105,111,0,130,255,7.75,30.21,33.94,131.91,19.77,6,141,213.15,96.53,91.77,12.93,3.22,7.62,215.28,97.14,94.12,208.74,100,100,6.3,4.46,6.7,5.89,I
201.68,198.87,195.11,82,77,73,255,211,203,39.99,29.5,30.14,198.19,28.85,76,210,88.76,7.6,81.34,106.63,8.98,12.1,24.71,6.76,82.75,15,0,100,6.63,6.89,6.67,6.53,H
